似る/にる+ゃ 連用形名詞化
追い出す/おいだす+コンパ 連用形名詞化
折り畳む/おりたたむ+傘/かさ 連用形名詞化
寝込む/ねこむ+ＰＡＩＮＴ 連用形名詞化
尖んがる/とんがる+帽子/ぼうし 連用形名詞化
折り畳む/おりたたむ+自転車/じてんしゃ 連用形名詞化
ねだる/ねだる+Ｓｗｅｅｔｉｅ 連用形名詞化
戯れる/たわむれる+言/げん 連用形名詞化
出会う/であう+系/けい 連用形名詞化
曲げる/まげる+モーメント 連用形名詞化
射る/いる+辰/たつ 連用形名詞化
翔ぶ/とぶ+出刃/でば 連用形名詞化
損ずる/そんずる+葉書き/はがき 連用形名詞化
射る/いる+ο 連用形名詞化
寝る/ねる+ェ 連用形名詞化
ときめく/ときめく+パーティセンセーション 連用形名詞化
買う/かう+物袋 連用形名詞化
履く/はく+心地/ここち 連用形名詞化
待ち受ける/まちうける+画像/がぞう 連用形名詞化
集まれる/あつまれる+フェアリーアイランド 連用形名詞化
挿す/さす+絵/え 連用形名詞化
割り込む/わりこむ+サービスルーチン 連用形名詞化
空く/あく+容量/ようりょう 連用形名詞化
打ち上げる/うちあげる+花火/はなび 連用形名詞化
振り向く/ふりむく+ざま/ざま 連用形名詞化
釣る/つる+キチ 連用形名詞化
焼く/やく+鳥屋 連用形名詞化
掛け合う/かけあう+漫才/まんざい 連用形名詞化
はぐれる/はぐれる+コキリコ 連用形名詞化
呼び寄せる/よびよせる+ビザカテゴリー 連用形名詞化
抱く/いだく+枕/まくら 連用形名詞化
射る/いる+ー 連用形名詞化
研ぐ/とぐ+汁/しる 連用形名詞化
射る/いる+討 連用形名詞化
蒸す/むす+器/うつわ 連用形名詞化
射る/いる+μ 連用形名詞化
持ち合う/もちあう+解消/かいしょう 連用形名詞化
除ける/よける+スプレー/すぷれー 連用形名詞化
隠れる/かくれる+キリシタン/きりしたん 連用形名詞化
持てる/もてる+偽/ぎ 連用形名詞化
弔う/とむらう+童/わらべ 連用形名詞化
射る/いる+里/さと 連用形名詞化
引っ掻く/ひっかく+傷/きず 連用形名詞化
垂れ流す/たれながす+画像/がぞう 連用形名詞化
射る/いる+やよ 連用形名詞化
煮込む/にこむ+うどん/うどん 連用形名詞化
溶く/とく+メモガールズサイド 連用形名詞化
散らす/ちらす+鮨/すし 連用形名詞化
借り上げる/かりあげる+社宅/しゃたく 連用形名詞化
造る/つくる+酒屋/さかや 連用形名詞化
飛び降りる/とびおりる+自殺/じさつ 連用形名詞化
射る/いる+隼/はやぶさ 連用形名詞化
生ける/いける+梟/ふくろう 連用形名詞化
換える/かえる+作物/さくもつ 連用形名詞化
漉す/こす+器/うつわ 連用形名詞化
操る/あやつる+人形/にんぎょう 連用形名詞化
掛かり付ける/かかりつける+薬局/やっきょく 連用形名詞化
射る/いる+Ε 連用形名詞化
問い合わせる/といあわせる+先/さき 連用形名詞化
編む/あむ+タイツ 連用形名詞化
癒す/いやす+系/けい 連用形名詞化
待ち合わせる/まちあわせる+場所/ばしょ 連用形名詞化
あやす/あやす+卯/う 連用形名詞化
朽ちる/くちる+正太 連用形名詞化
伏せる/ふせる+字/あざ 連用形名詞化
歌える/うたえる+モンランキング 連用形名詞化
撮る/とる+レイプエロサイト 連用形名詞化
寝惚ける/ねぼける+マナコ 連用形名詞化
吹き付ける/ふきつける+アスベスト/あすべすと 連用形名詞化
塗れる/ぬれる+布巾/ふきん 連用形名詞化
射る/いる+ちよし 連用形名詞化
汲み取る/くみとる+便所/べんじょ 連用形名詞化
浮く/うく+輪/わ 連用形名詞化
切り裂く/きりさく+ジャック/じゃっく 連用形名詞化
断ずる/だんずる+りの 連用形名詞化
射る/いる+顔面/がんめん 連用形名詞化
冷える/ひえる+ピタシート 連用形名詞化
炒める/いためる+物/もの 連用形名詞化
繰り上げる/くりあげる+償還/しょうかん 連用形名詞化
出る/でる+すよ 連用形名詞化
送る/おくる+バント 連用形名詞化
撒く/まく+餌/えさ 連用形名詞化
釣る/つる+場/ば 連用形名詞化
焼く/やく+肉屋/にくや 連用形名詞化
食わせる/くわせる+オキアミスーパーハード 連用形名詞化
割り込む/わりこむ+ハンドラ 連用形名詞化
投げる/なげる+キッス 連用形名詞化
枝垂れる/しだれる+桜/さくら 連用形名詞化
ばてる/ばてる+つやの 連用形名詞化
開ける/ひらける+ポンキッキ 連用形名詞化
撒き散らす/まきちらす+フェラ 連用形名詞化
勧める/すすめる+度/たび 連用形名詞化
寝る/ねる+♪ 連用形名詞化
繰り延べる/くりのべる+税金/ぜいきん 連用形名詞化
綴じ込む/とじこむ+付録/ふろく 連用形名詞化
妬く/やく+ゅ 連用形名詞化
剥ける/むける+チンコ 連用形名詞化
つぼむ/つぼむ+ラブチャイルド 連用形名詞化
射る/いる+ε 連用形名詞化
垂れる/たれる+ぱ 連用形名詞化
商う/あきなう+ビズスクエア 連用形名詞化
